Id_comment,commentaire,qualite
3586621, très bon accueil et hôte très agréable appartement très bien situer accès facile métro et près pouvoir avoir besoin quotidiennement très bon expérience,positif
59517690, accueil très chaleureux chafia bon organisation donner peine aider déplacement appartement quartier très agréable,positif
62861017, très beau appartement et bon accueil chafia merci,positif
129761775, strictement fonctionnel appartement ne donner pas envie attarder pas fenêtre pièce principal trouver bien mieux moins cher mais pouvoir être pas,positif
110759616, recommander,positif
727015, avoir avoir être véritable plaisir partager soirée céline appartement être idéalement situer minute station métro chaleureux et bien aménager céline être hôte accueillant sympathique et savoir mettre aise ne hésiter plus avoir trouver chambre chercher,positif
131986035, près rue daguerre très commerçant et piéton voir et faire petit course appartement bien mais coin cuisiner ne permettre pas faire grand chose,positif
776322, excellent option tout d'abord accueil chaleureux estelle et pierre avoir bien faire commencer séjour appartement être très bien situer principal endroit touristique rive droit être facilement accessible pied supermarché coter et cadre sympa très recommandable una excelente opción estelle pierre acogieron bien el apartamento está muy bien ubicado desde él puede acceder fácilmente avoir los principal sitios turísticos rive droit avoir pie hay supermercado muy cerca el entorno être muy simpático ¡muy recomendable,positif
10296944, merci julie très bon séjour parisien description lieu être point conforme propre bien placer silencieux car retraire rue bien achalander commerce et restaurant tout autour station métro gare montparnasse pied julie avoir faire preuve souplesse et efficacité accueil tardif minuit départir décallé tout sourire adresse et hôte sse conseiller revenir virginie jacque,positif
87769799, hôte très disponible tout être parfaitement indiquer et appartement correspondre photo être parfait compromis terme prix et être centre pari,positif
62955635, antonella être hôte formidable savoir mettre aise recommander adresse et retourner très volontiers raison personnel quartier être agréable et très bien situer,positif
1735650, très bon séjour diane appartement être confortable et joli diane laisser plus guider et divers information merci,positif
64137019, appartement spacieux très bien situer agréable proche transport et pari lire confortable mais logement peu froid hiver car rdc et avoir chercher chauffage vendredi soir ne savoir pas que chauffe eau devoir être enclencher cuisine mettre marche radiateur manquer eau chaud douche peu dommage alors que être très chaud évier et lavabo avoir essayer joindre hélène mais malheureusement présent étranger ne avoir recevoir message que dernier jour séjour,positif
33173179, accueil très sympathique appartement agréable quartier génial parfaire visiter pari merci céline,positif
111149044, avoir passer séjour familial très agréable appartement françois tout monde avoir apprécier confort et décoration appartement situation calme et vue françois avoir être très disponible donner information nécessaire et contact place particulièrement gentil et disponible accueillir heure retard arrivé merci spécial khady et frère magali,positif
74161800, très bien recevoir arrivé et échange séjour avoir être très enrichissant discussion fort instructif recommander,positif
3385071, nam et patrick avoir savoir être hôte foi accueillant prévenant disponible et discret appartement être idéalement situer central et aisément accessible aéroport cdg intérieur témoigner don agencement rehausser goût certain décoration trouver pouvoir avoir besoin sèche cheveu chargeur passer moult documentation ville ou trousse soin si si éventuel ampoule ou autre petit bobo prendre temps promener regard multiple détail peupler appartement être visite froid arctique régner pari lors séjour jamais voir autant neige pari permettre confirmer que chauffage être très efficace isolation phonique être également hauteur profiter aussi hi fi simple mais bon qualité et sélection cds mettre disposition avoir particulièrement apprécier album ben harper réseau wifi être également performant cuisine être simple mais là encore intelligemment agencer et permettre agréablement éviter nième sandwich conclusion comme avoir comprendre être faute merci nam patrick,positif
116144019, avoir passer excellent séjour charlie accueil avoir être impeccable être hôte très attentionné et accueillant avoir passer temps faire visiter appartement et expliquer tout avoir faire et voir quartier et alentour passer bon weekend appartement être très joli et très bien situer visiter pari aisément tout être très calme retourner hésiter merci beaucoup charlie,positif
54826177, super weekend chaleureux appartement très propre et proche gare montparnasse avoir être ravir conseiller,positif
111869020, appartement jennifer être admirablement bien décorer identique photo quartier bien sûr être très agréable boutique restauration rapide restaurant métro proximité avoir permettre passer agréable séjour pari magali et siko,positif
55428100, eucechou être hôte génial super acceuillante même 23h soir gentil et aimable chambre être bien propre et bon taille appart sentir toujours super bon être bien propre et chaud faire bien rentrant eucechou préparer petit gâteau et fruit manger matin avoir également beacoup apprecié merci eucechou avoir acceuillé joli maison être bienvenir angleterre quand vouloir,positif
133397032, logement pauline avoir situation idéal car plein centre ville donc service être facilement accessible pied même temps être calme logement être petit mais personne seul être largement suffire avoir nécessaire cuisiner simplement avoir passer excellent semaine,positif
61242019, très joli studio et tellement bien placer avoir avoir impression être parisien excellent service celine conseiller,positif
24032280, clair être très accueillant être très sympathique,positif
24387591, accueil adorable chaleureux et accommodant car atterrir très tôt et hôte avoir permettre entrer appartement immédiatement être conforme descriptif appartement clair impeccable très bien situer et hôte parfait recommander,positif
9374440, très bon séjour pari studette idéalement placer jour avoir prendre métro que seul foi deborah être très accueillant et arrangeant logement être certes petit mais comporter falloir recommander,positif
129106942, appartement très bien situer et idéal famille enfant clair et ben avoir être très arrangeant et excellent conseil lieu voir ainsi que différent restaurant ou bar alentour prochain venu pari savoir appartement choisir,positif
21223986, avoir être très bien accueillir quartier très agréable commerce bar restaurer très central découvrir pari appartement être très clair et agréable,positif
68820065, séjour ultra courir nuit mais très agréable charlotte avoir accueillir gentillesse heure tardif arrivé lit être plus confortable et appartement propre recommander,positif
137399754, petit appartement très bien équiper sentir comme maison,positif
27557025, antre être aussi agréable que accueil merci laure marier avoir être patient et avoir attendre assez tard appartement correpond parfaitement descriptif être petit nid douillet situer quartier très sympathique avoir métro minute pied plaisir rendre nouveau,positif
36050191, excellent séjour pari maxime être montrer toujours réactif accueillant et sympathique appartement être impeccable idéalement situer très confortable literie grand qualité et très calme fenêtre ouvrir soir fête musique avoir dormir comme loir merci encore maximer highly recommend maxime's apartment in the heart of the latin quarter in pari maximer has been extremely reactive very welcoming and friendly the apartment is spotless very comfortable the bed is avoir blessing and very calm you won't be disappointed,positif
136549212, hotes être tres bienveillant et tres sympas appartement être tres agreable tres commode et calme tres bien situer rapport transport regretter que avoir cause temps froid avoir pas avoir possibilite utiliser terrasse ca devoir etre tres agreable,positif
25810008, romain avoir très bien accueillir appart être très bien situer proche station métro quartier animer cependant niveau propreté être vraiment pas top aliment frigo être périmer plus être très saler idem plaque et micro onder avoir passer bon séjour ça^^,positif
81616804, appartement être très bien situer avoir avoir faire pari mais ci être vraiment très petit ne passer pas jour et encore moins si vrmt vs ne fauter que dormir appartement être rez chausser porche entrée avoir donc beaucoup passage nuit lumière porche et bruit passant immeuble avoir réveiller reprise point positif avoir pouvoir faire réservation dernier minute,positif
2124048, superbe petit studio très bien situer avoir être très bien accueillir avoir recommander,positif
113867504, avoir passer très bon séjour appartement être très bien placer découvrir pari et quartier être très agréable restaurant commercer être proximité avoir être très bien accueillir et appartement posséder même garage être réel avantage pari conseil vivement endroit,positif
4298806, avoir louer appartement marier jour temps visiter pari sommer ravir séjour appartement être très bien situer proche métro bus montmartre extrêmement calme bien aménager propre marier être disponible donner reprendre clé heure arranger plus expérience renouveler,positif
13352360, appartement très bien placer ligne métro pas literie très confortable lumineux équipement optimal propre déco très sympa résumé très agréable séjour comme maison,positif
33242764, appartement proposer eloise être exactement comme décrire annonce être très bien équiper et très bien situer visiter pari douche chambre être absolument idéal pour ne pas prendre temps partir conquête ville avoir avoir peu peur que être bruyant vue situation rue rivoli mais finalement ne avoir pas être incommoder bruit circulation plus eloïse avoir être flexible concerner horaire arrivé et départ être très appréciable recommander logement,positif
51640966, prix ne faire pas attendre chose grandiose ne être pas habitation aller entrer mais espèce hôtel fait hôtel et auberge jeunesse puisqu'il avoir chambre répartir niveau cuisine sol laverie foi savoir tout être cependant correct chambre petit mais propre salle eau et wc partager palier également plutôt propre sanitaire commun logement être min pied station métro porter bagnolet avoir être accueillir jeune fille être cousin sophie mais même si être pas cas ficher peu ne avoir avoir problème et rapport qualité prix être là,positif
83298677, logement être bien décrire avoir être bien accueillir être assez rudimentaire mais correct personne être présent check in out,positif
61139392, appartement être très propre très spacieux personne tout être prévoir sentir maison quartier être agréable et appartement être près métro bon organisation obtenir laisser clé même réserver dernier moment et être bon exercice monter 7ième étage,positif
30542672, appartement très bien situer cœur montmartre et très proche métro donc facile accès julia avoir tout prévoir et appartement être bien équiper avoir passer très bon séjour recommander appartement,positif
123066055, accueil remarquable et fort sympathique,positif
24425136, avoir passer superbe séjour pari appartement être très bien placer moderne agréable et calme ne hésiter pas revenir et recommander connaissance merci brice christine et grégoire,positif
11320560, appartement trés bien situer minute metro et mn pied abesses ou renomée rue lepic chambre unique volet et armoire petit mais suffisant jour appartement donner arrière donc pas bruit rue mais mur être fin et entendre trés bien voisin celer ne avoir pas trop derangés car nuit être calme ne avoir pas rencontrer directement proprietaire mais mail ou sms avoir avoir reponses rapide et disponibilité appreciable revenir et conseiller appartement,positif
2429760, être merveilleux semaine vacance pari studio être petit ou personne mais ya nécessaire et avoir être entièrement préparer visite studio être placer jeunesse région beaucoup restaurant et magasin mais rue calme pouvoir facilement revenir maison avoir nuit studio proximité avellino métro bastille rapide et permettre accéder directement principal attraction ainsi que gare austerlitz partir pouvoir aller porte versailles aussi place avoir station taxi quand être temps aller aéroport charles gaulle ne avoir problème avoir prendre là taxi et minute arriver aéroport près maison ya supermarché être plus proche maison ferme peu tard france être présenter bon choix produit foi semaine marché fonctionner rue côté studio tout être très propre et bien penser et facile mais aussi atmosphère chaleureux et charme spécial sentir que propriétaire aimer appartement salle bain avoir petit lucarne romantique appartement avoir grand et très confortable lit double être important faire promenade pied journée studio être chaleureux lumière pas problème eau chaud avoir grand télévision et rapide interruption internet wi fi calme voisin emplacement studio être très bon pratiquement cœur ville sorte que centre pouvoir déplacer pied ne avoir pas pratiquement pas apprécier métro dame minute pied tour eiffel heure pied arc triomphe heure pied pari très agréable et intéresser marcher pied surtout quand soleil briller et que chaleur parce être magnifique merci beaucoup maribel gue avoir fournir occasion vivre comme parisien appartement être meilleur vacance the studio is small for one or two but it has everything you need and it was fully prepared for my visit the studio is located in avoir youth area with many restaurant and shops boire avoir quiet street noise from the street is not heard and you can easily go back at home at night next to the house there are two supermarkets one big and very comfortable double bed is in the studio that is important for those who walking foot around pari all day the location of the studio is very good almost in the very center of the city so you can get around the center by foot it was the best of my vacation,positif
23117305, appartement très accueillir et avoir faire conforme avoir description idealement situer avoir passer excellent sejour retourner hesiter,positif
108765094, avoir passer agréable séjour appartement être conforme avoir attente hôte avoir écoute,positif
91554133, très beau appartement idéalement situer virée,positif
54446303, tout être bien passer très bon location pas st paul,positif
7598006, avoir passer excellent séjour appartement sophia voici point culminant hébergement emplacement pas métro arrondissement quartier plus intéressant multiculturel et particulièrement vivre esthétisme et propreté logement ascenseur rendre étage journée haut déplacement marché proximité bistro et salle spectacle alentour superbe vue toit lire particulièrement confortable et plus importer encore approche chaleureux flexibilité gentillesse sophia ainsi que clarté communication merci encore merveilleux séjour revenir,positif
56455648, magnifique appartement et idéalement situer merci laurence disponibilité et accueil,positif
36482467, accueil carolin être irréprochable contacter jour soir même avoir être très réactif et arrangeant petit soin assurer que aller bien séjour studio être très petit mais mesure ne avoir faire que dormir être suffisant merci encore carolin gentillesse et accueil,positif
5011133, avoir louer appartement julien autre personne avoir beaucoup apprécier julien être très accueillant et chaleureux merci,positif
53033954, appartement pierre et letitia être vraiment super être super bien situer quartier préférer plein bon resto bistro être bar autour studio être tout neuf et bien aménager et plus être petit cour rez chaussée rendre appartement extrêmement calme pierre et letitia être super réactif car chercher appartement urgence avoir envoyer demande et min plus tard avoir avoir réponse appartement correspondre absolument description encore merci pierre et letitia,positif
114790789, appartement très bien situer être très bien aménager passer agréable séjour literie qualité pierre avoir offrir bouteille bienvenu être toujours disponible et avoir donner conseil restaurant ne hésiter pas superbe week end part,positif
29057725, être séjour joli appartement recommander séjour touristique ou travail très bien placer rue calme coter métro ligne taxi autobus et car air france juste coter café et restaurant sympas coin communication impeccable propriétaire nicolas ainsi que parent habiter juste face très bon séjour travailler souci merci nicolas,positif
71227926, joli appartement bien équiper et idéalement situer visiter pari sébastien être disponible et arranger avoir passer agréable séjour,positif
121190974, agréable chaleureux très beau balcon vue toit et très bon communication revenir joie,positif
32968264, logement très bien parfait emplacement très bon contact albert,positif
28005667, logement bien décrire conforme et très bon accueil anne quartier très agréable faire bon vivre avoir vraiment beaucoup apprécier,positif
56789757, acceuil chaleureux très beau appartement très beau vue revenir certainement lors prochain voyage pro pari,positif
82764254, avoir agréablement recevoir logemement être super et correspondre propriétaire être très sympathique et discret,positif
22536383, avoir choisir apartement emplacement près gare nord et être vraiement très près juste minute gare avoir acceuilli arrivé tardif eurostar autre bonus apartement avoir tout falloir être propre et chaleureux et assez grand personne boulangerie et carrefour avoir metres aussi très pratiquer même si salon donner rue double vitrage avoir bien réussir avoir bloquer bruit circulation bas we picked this apartment devoir to its clore location to the gare nord and it was really clore only avoir couple of minute walking if that this was avoir huge advantage both for our arrival departure avoir well avoir for sightseeing florence was also really flexible for our arrival which was late evening the apartment was clean and cosy big enough for people without feeling too crowded there is avoir bakery across the road and avoir grocery store less than 100m away the apartment is avoir busy road boire windows and the 4th floor elevation blocked out most of the noise from the traffic,positif
126888147, appartement confortable et calme très bien situer quartier agréable,positif
54424815, super appart tout équiper très propre facile accès proche tour eiffel quartier animer être trop vouloir nuit commercer ouvrir 23h hôte très sympa et accueillant que positif conseil,positif
19184882, être séjour mémorable appartement corinne être parfaire même personne faire chambre séparer situation géographique être parfaire pas seine recommander fortement autant prix propreté et accueil corinne retard 1h30 être tout sourire et agréable merci corinne,positif
69788052, soukaina avoir être très disponible et surtout très agréable véritable plaisir rencontrer appartement être très bien placer côté station métro séjour être vraiment très bien passer plus place parking garage terrain et large aussi problème stationner monospace,positif
4133465, localisation plein cœur pari et côté métro appartement très sympa et bien équiper regretter juste ne pas avoir pouvoir profiter superbe terrasse cause temps hote disponible et accueillant,positif
137719330, logement très agréable eric avoir être disponible et compréhensif check in out,positif
83177315, grand appartement très agréable accueil chaleureux plus être près très bon restauto cantine troquet,positif
121196280, transport être très pratique avoir station métro très proche maison être bien meubler chambre et grand canapé salon pouvoir cuisiner même aussi plus important être propriétaire être très sympas très gentil quand avoir problème donner beaucoup solution si avoir prochain foi aller commander maison encore,positif
82160346, super appartement et hôte très accueillir recommander,positif
127692655, maxime être super hôte appartement être mignon et cosy pratique et bien situer recommander vivement,positif
37716006, suivre sentir comme maison isabelle appartement être décorer goût spacieux et très agréable chambre terrasse et salle bain privatif offrir intimité et confort avoir besoin court séjour quartier être calme et vivre foi primeur boulangerie et autre petit restauration evidemment recommander isabelle comme hôte,positif
49268828, très bon moment katie accueil parfait concierge être là donner clef appartement agréable,positif
58784190, studio très bien situer et organiser cœur pari bon réception part yves hébergement recommander avoir pas besoin grand espace,positif
27073511, très beau appartement idéalement équiper situer proche sacré cœur et métro juliette être sympa acceuillante et flexible idéal court séjour pari recommanded,positif
11729766, pieces être vraiment propre et spacieux couple ou personne seul parent avoir sejourne arnaud être montrer extremement disponible malgre demande faire derniere minuter car avoir perdre precedente reservation et disponible pour que pouvoir recuperer chose oublier place recommander fortement appartement arnaud's flat is simply great really clean and with enough space for avoir couple or avoir single person my parent stayed there and arnaud proved very available even if we our booking request at the very last minuter devoir to avoir last minuter cancellation from avoir different host and even if we were late and very available when needed to retrieve something my mother had left there recommend this flat greatly,positif
5896499, hôte être sympatiques cependant ne fier pas trop photo car lors séjour avoir bordel pas possible appart avoir croire halluciner et pourtant ne suivre pas maniaque ménage très bien placer près station métro bastille resto marcher et commerce proximité donc ensemble être bon compromis petit weekend pari,positif
9039104, très bon accueil appartement conforme description bien situer proche métro et commerce quartier calme appartement propre et bien équiper,positif
7184023, bonjour appartement être parfaire balcon être très agréable et pouvoir tout trouver proximité,positif
10007276, collègue avoir apprécier séjour anne katerine tout être très bien dérouler communication check in merci confiance anne katerine,positif
4486678, très bon contact eric tout avoir être fluide et surprise collègue pour avoir louer chambre avoir confirmer avoir passer bon séjour très bon quartier et que appartement être propre et agréable garder donc adresse pour prochain visite,positif
4070917, hôte très ouvrir et facilement joignable et disponible appartement être vraiment attendre pas mauvais surprise hôte et appartement recommander encore merci hugo,positif
5314603, très bon contact location instruction parvenir logement être clair appartement être situer proche station métro très appréciable enfant visite appartement être très propre et bien équiper recommander,positif
64290013, beau appartement très bien situer et très propre très bon séjour,positif
81222705, réaction entrer appartement richard et stella être wow beau vue pari exactement comme décrire photo tout être propre et appartement être très bien équiper avoir apprécier sécurité complexe pas métro près marché pâtisserie,positif
29259787, pascal être très agréable et explication relatif intendance être clair et concis studio être conforme description avoir avoir besoin et espace être utiliser manière optimal confirmer que vue pari être exceptionnel bref avoir passer excellent week end recommander vivement studio,positif
114720079, très bon séjour appartement cosy et calme quartier très agréable,positif
12287863, studio neuf calme et ensoleiller confortable et pratique idéalement situer 2pas centre historique pari avoir passer délicieux séjour charmant hôte,positif
120053577, être parfaire grand merci alix,positif
66014655, beau appartement très bien situer avoir passer excellent séjour,positif
28488910, super séjour pas porte versailles appartement être propre bien agencer taille merci serviette et url hidden résidence être très calme ne avoir croiser voisin recommander vivement logement et lola être très disponible rendre séjour encore plus facile bientôt,positif
90458800, valérie avoir être très accueillant avoir donner bon adresse quartier avoir être bien utile appartement être agréable rue très animer soir salle eau être exigüe et utilisation sanibroyeur avoir être réel contrainte,positif
124526402, expérience agréable être très sympas chambre être joli et propre décoration magnifique quartier être proche métro et resto fortement recommander,positif
56218359, superbe appartement décorer beaucoup goût confortable et très bien équiper être situer pas métro quartier très agréable proche bar et restaurant type grand merci accueil avoir être réserver ne pouvoir que conseiller appartement,positif
54587867, petit studio agréable calme bien agencer et très bien situer,positif
60932233, hôte très sympathique et accommoder appartement être décorer goût et être très agréable vivre situer rue vivant nombreux restaurant et petit café très près métro et autobus super pratique,positif
14385181, ne avoir pas rencontrer grégory mais avoir quand même être accessible répondre question appartement être parfaire être très propre bien aménager et bien équiper quartier être très agréable avoir bon nombre petit restaurant prix proximité,positif
129068376, appartement être très propre très agréable et parfaitement placer revenir être,positif
60717692, louis être hôte très accueillir convivial et chaleureux très prévenant être place séjour agréable appartement être très bien situer quartier calme et commercer chambre être propre et être prêt nuit agréable salle bain être très propre séjour bien agréable que ne hésiter pas renouveler et recommander fortement,positif
24847844, très bon accueil hôte ludwig avoir être très arrangeant et réactif lorsque avoir avoir souci technique studio être bien situer tout près station métro et bien équiper dommage que isolation ne être pas aussi bon,positif
52417309, petit séjour parfait william avoir échanger message et avoir d'abord très bien expliquer façon pouvoir venir très précisément être très accueillant et chaleureux appartement être idéalement situer près vouloir voir et avoir faire recommander et ne hésiter pas réserver nouveau william lors prochain séjour pari,positif
136075076, appartement être très agréable retourner semaine prochain,positif
134061621, idéalement situer et plein charme convenir solo ou couple et nostalgique joli chambre étudier jeunesse,positif
25306669, appartement confortable et idéalement placer vue magnifique pari ligner bus très pratique accès cœur pari place parking bon accueil merci emmanuelle,positif
5566422, séjour très agréable pauline être hôte très sympatique et avoir offrir accueil chaleureux lors oral pari son soutenir et gentillesse avoir être très bénéfique plus chambre être cosy recommander,positif
23681982, carole avoir accueillir et présenter appartement manière précis et très chaleureux documentation concerner quartier et pari pouvoir offrir être disposition appartement être coquet très propre très bien entretenir et très fonctionnel plus kitchenette très bien équiper et fournir nutriment accueil ne manquer pas recommander adresse ami séjour avoir être parfait merci airbnb et carole,positif
122857028, appartement spacieux et très bien situer,positif
51717911, bonsoir appartement super bien situer accueil et grand disponibilité,positif
111080999, séjour marier être très agréable et chambre être faire presque appartement complet porter entrée séparer doucher et toiletter priver être très bien équiper et quartier être vraiment sympa seul petit bémol bruit soir car avoir bar juste côté immeuble pas très tard soir semaine plus tard samedi soir,positif
70962234, très joli appartement et très bien situer sommer ravir séjour et garçon an être très content dormur chambre enfant immeuble être très sécuriser et margot rendre très disponible téléphone tt cas ne hésiter pas plus deco être sympa entrée métro min et marché local min pied,positif
30681014, avoir louer appartement loger ami venu rendre visite pari appartement être haut percher étage mais très agréable salon canapé être très agréable discuter quartier être animer beaucoup commerce ouvert comprendre dimanche être idéal séjourner pari personne,positif
88314189, appartement très agréable spacieux et lumineux localisation être parfaire sortir et déplacer métro revenir appartement prochain séjour pari,positif
27828324, vincent être très accueillir lors check in et arrivé pari echange et retour clé avoir être très facile studio être très joli et bien équiper linge être aussi mettre disposition et ressembler exactement photo mettre disposition site airbnb studio être situer rez chaussée quartier être très sympa aussi et marais très proche bref être parfait studio séjour pari balader dehors ou travailler journée,positif
63660831, bon appartement rien redire recommander,positif
124633578, parfaire appartement charmer specialment endroit directement avoir cimentière père lachaise et mètre prochain metro et lit etaient higlights accueil super gentil plus reconmendable,positif
107070837, accueil très sympathique appartement confortable et calme vue superbe pari,positif
8463835, appartement christian être situer cœur et être très accessible métro appartement être plutôt propre christian être sympathique et grand aide concerner heure départ et bagage christian's apartment is centrally located and easily accessible from the métro the apartment is quite clean and neat christian was helpful and accommodating concerning departure times and luggage storage,positif
13550921, grégory être très chaleureux ne manquer pas marquer séjour petit attention appartement être très bien situer idéal visiter pari pied si vouloir appartement typiquement ambiance parisien être falloir attention cinquième étage ascenseur mais grégory être là aider arrivé recommander,positif
9997581, chercher jour petit logement 11éme arrondissement très agréable vivre et proche pied ou vélo ou transport commun bastille république père lachaise marais appartement avoir être parfaire facile accès métro et bus proche calme donner jardin et entendre oiseau matin accueillir pratique effet laurer avoir tout prévoir essentiel cuisine parfaitement équiper salle bain irréprochable literie impeccable comme agréable parapluie serviette volonté déco sobre et bon goût plateau thé café problème sécurité porte accès coder et clef sécurité système chauffage simple et efficace accès internet difficulté logement être propreté irréprochable petit coin laurer être là accueillir et préciser si besoin infos avoir prendre peine envoyer paravent ainsi que indiquer bon plan quartier et plus pari avoir voyager peu asie hésiter contacter laurer,positif
57319051, appartement être bien situer et très propre avoir regretter fait être très impersonnel,positif
19428957, studio être propre et lumineux être bien situer surtout aller gare nord dominique avoir accueillir chaleureusement et avoir problème,positif
66351329, excellent accueil part dominique logement correspondre parfaitement description et être même mieux que attendre facile trouver grâce indication fournir dominique,positif
9025893, parfait idéalement situer calme et très bien équiper sommer beaucoup plaire appartement merci charles,positif
15233500, françois avoir être hôte très agréable ponctuel arranger avoir accueillir grand gentillesse et séjour très joli appartement avoir être vrai réussite revenir grand plaisir françois,positif
103582990, appartement idéalement placer cœur marais déco sympa et propreté nickel ne hésiter pas louer logement françois,positif
123435599, avoir faire demande tardif dernier minute paul avoir être très réactif avenant et avoir parfaitement expliquer comment accéder logement séjour être bien passer merci,positif
92629572, linge propre place armoire et commode disposition ranger affaire,positif
110867383, avoir passer excellent séjour appartement clair appartement correspondre photo être très lumineux et très bien placer avoir avoir excellent communication claire être hôte très attentionner ne pouvoir que recommander appartement,positif
128507389, conforme photo et description bon rapport qualité prix,positif
112482051, avoir être très bien recevoir carole appartement être idéalement situer bercy très confortable équipement nécessaire,positif
46621968, avoir passer séjour très agréable appartement mathieu appart être ne pouvoir plus central et néanmoins ne entendre pas bruit déranger nuit appartement ressembler exactement voir photo et disposer vraiment maximum confort si mathieu ne être pas personnellement présent montrer lieu avoir tout même faire tout rester contact et remettre clé seul inconvénient si avoir être escalier assez étroit et nombre marche accéder mais permettre aussi vue assez joli nouveau toit halle et toit pari général,positif
69868012, appart être très bien situer 2min métro et commodité proche boulangerie traiteur pizzeria être calme et fonctionnel quartier et habitant être très sympas,positif
135811179, très bon accueil beau emplacement appartement peu vétuste,positif
80455554, sejour être vraiment tres bien deroule djemila etait super ponctuel et attentif appartement être tres bien place et super propre donc excellent experience,positif
83519766, séjour rapide être excellent lieu être simple efficace et excellent rapport qualité prix hôte très accueillant et disponible lieu être propre conformer attendre et même plus encore bref adresse retenir,positif
107040115, très bon logement tout avoir être rénover récemment confort propreté et bon localisation,positif
127964744, jérome avoir être arrangeant et appartement galerie être très accueillant confort lit et calme immeuble avoir passer nuit très agréable,positif
43655100, appartement conforme photo annonce et kévin être extra revenir,positif
31398806, olivier être quelqu’un très agréable porte appartement être grand ouvert et studio être très confortable avoir as sensation d’être inconnu faire tout pour accueillir chaleureusement conseiller vivement merci beaucoup olivier,positif
106613972, merci philippe séjour passer pari petit studio mais calme et idéalement situer quartier très agréable merci petit attention jour revenir hésiter,positif
7253225, appartement confortable simple et bien situer avoir pari pouvoir marcher centre ville être tout pret annabelle être très acceuillante et généreux temps,positif
7468028, anna être charmant savoir recevoir logis être cosy sentir bien proche quartier tres vivant et pourtant soir calme regne résidence sejour agréable être plaisir que retourner avoir capital si anna être disponible retourner,positif
112725303, appartement très calme et proche commodité spacieux et lumineux manquer juste télé longue soirée hiver contact très facile david recommander adresse,positif
46695566, être très bien très beau acceuil loubna quartier correct entourer grossiste vêtement petit café épicerie et boulangerie et pâtisserie très près,positif
14715085, super logement quartier agréable hôte sympathique et arrangeant,positif
7625981, studio très propre propriétaire très sympathique et accueillant studio être idéalement placer mi chemin place clichy et métro fourche,positif
13482976, très bon accueil appartement bien situer quartier agréable et bien desservir,positif
26844728, hôte arrangeant et ponctuel appartement bien situer fonctionnel seul bémol drap ne avoir pas être changer venu,positif
60356883, très bon expérience airbnb localisation être parfait et facile accès avoir passer agréable séjour confortable duplex recommander et plus chrys will être très serviable et assurer que séjour dérouler bien tout grand merci,positif
23193108, appartement être top quartier être top accueil nils être top rien dire être parfait merci et bientôt,positif
74274637, avoir étai sébastien pendre nuitée quartier être bon proximité moyen transport plein centre pari appartement être bien lit être confortable et sébastien être très gentil et bien accueillir et surtout très discret dire que être être et non pas inverse aimer bien avoir autre occasion repasser éventuel prochain séjour pari merci sébastien,positif
114268582, tout être très bien passer thomas studio être lumineux agréable et fonctionnel quartier chouette être rester volontiers plus longtemps merci encore,positif
51195793, beau appartement très bien situer quartier calme proche commerce avoir être accueillir petit chat très câlin avoir recommander,positif
